 Datum,01.09.11,02.09.11,03.09.11,04.09.11,05.09.11,06.09.11,07.09.11,08.09.11,09.09.11,10.09.11,11.09.11,12.09.11,13.09.11,14.09.11,15.09.11,16.09.11,17.09.11,18.09.11,19.09.11,20.09.11,21.09.11,22.09.11,23.09.11,24.09.11,25.09.11,26.09.11,27.09.11,28.09.11,29.09.11,30.09.11,31.09.11
Bagel Cream Cheese here,3,1,0,2,4,3,3,2,2,4,0,1,2,2,1,3,1,1,0,1,2,2,4,3,0,4,2,2,2,1,0
Bagel Cream Cheese to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,3,0,1,2,1,0
Bagel Fitness here,4,5,8,4,2,1,4,4,6,4,1,4,5,5,8,6,8,2,5,3,5,6,5,5,1,3,3,3,2,5,0
Bagel Fitness to go,0,2,0,0,0,2,0,0,3,2,0,4,1,3,0,1,0,1,1,3,1,3,1,0,0,0,1,5,5,1,0
Bagel Green Garden here,1,0,1,4,0,0,0,1,0,0,0,1,1,2,1,1,3,0,1,0,0,1,0,2,0,1,1,0,1,1,0
Bagel Green Garden to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagel India here,1,0,4,2,0,1,3,1,2,0,0,4,1,2,1,0,0,0,1,1,0,1,0,1,0,0,1,4,2,2,0
Bagel India to go,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bagel Mexico here,5,3,2,3,8,6,3,3,5,4,0,0,1,1,6,4,4,1,3,1,1,4,3,1,1,1,2,0,4,1,0
Bagel Mexico to go,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0
Bagel Morning Star here,0,1,1,1,2,1,1,2,1,0,1,1,2,0,1,0,1,1,2,0,0,0,1,1,0,1,2,1,0,0,0
Bagel Morning Star to go,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Bagel Peanut Butter here,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagel Peanut Butter to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bagel plain here,2,1,1,0,2,1,5,0,1,2,0,1,0,1,3,1,1,1,0,2,0,1,1,2,1,0,1,1,0,0,0
Bagel plain to go,0,2,0,0,3,1,1,0,2,2,1,4,0,0,0,1,1,1,3,2,2,2,2,1,2,0,0,2,0,3,0
Bagel Roma oder Florenz here,7,7,1,7,6,10,12,11,9,13,3,10,10,8,9,11,8,8,9,7,7,7,11,14,5,11,10,12,6,13,0
Bagel Roma oder Florenz to go,5,1,0,0,1,2,4,2,3,2,2,3,2,0,2,0,2,0,2,3,2,2,1,6,1,3,0,5,4,1,0
Bagel Stulle Deluxe here,1,3,1,2,3,4,6,4,0,1,1,6,3,1,1,0,5,2,4,2,2,4,2,5,0,3,2,1,3,2,0
Bagel Stulle Deluxe to go,2,0,0,0,1,1,1,1,1,1,1,0,3,0,0,0,1,1,0,2,0,0,1,1,0,1,0,2,0,1,0
Bagel Vital here,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brezel Butter here,2,1,0,0,3,1,4,0,0,1,2,2,0,2,0,1,0,2,0,1,0,0,1,0,1,0,0,0,2,0,0
Brezel Butter to go,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Brezel plain here,3,1,5,3,2,2,1,0,1,0,1,3,1,3,2,3,8,2,1,3,0,1,1,2,2,1,2,4,1,2,0
Brezel plain to go,2,2,0,0,0,0,1,2,0,1,0,1,2,0,1,0,0,3,0,2,1,0,0,0,0,1,2,1,1,1,0
Cafe Creme groﬂ  here,3,5,2,7,3,1,6,6,2,6,4,4,3,1,5,4,5,4,5,4,4,4,6,5,4,4,5,6,3,8,0
Cafe Creme groﬂ  to go,0,2,4,0,4,3,4,2,6,8,0,3,3,1,5,4,4,0,4,9,2,7,6,2,5,4,3,2,3,7,0
Cafe Creme klein  here,12,7,11,3,7,9,14,10,10,8,5,6,6,12,12,14,14,8,15,12,17,9,17,13,13,13,12,15,9,11,0
Cafe Creme klein  to go,4,4,3,2,5,5,5,1,8,3,2,5,2,4,6,4,11,5,7,8,6,6,3,10,5,12,11,7,9,7,0
Caffe Latte mit Sirup here,2,0,0,2,2,3,0,2,3,0,3,4,1,7,1,10,2,3,2,0,4,2,1,3,1,1,1,2,2,3,0
Caffe Latte mit Sirup to go,1,2,1,5,0,2,2,1,0,2,0,1,6,1,2,0,2,3,2,1,1,2,4,4,3,1,0,0,2,1,0
Caffe Latte ohne Sirup here,17,15,9,11,21,13,21,18,14,11,12,11,16,15,18,9,24,15,19,10,11,6,15,14,8,8,14,16,10,12,0
Caffe Latte ohne Sirup to go,9,3,5,4,12,14,6,5,5,6,2,12,9,9,19,4,7,4,8,14,12,16,9,14,13,16,10,13,14,23,0
Cappuccino groﬂ  here,9,15,7,7,11,2,13,8,5,11,9,10,7,15,14,10,15,9,12,8,11,3,12,14,4,8,10,9,10,5,0
Cappuccino groﬂ  to go,4,10,3,5,6,3,5,5,6,2,6,9,4,7,7,5,5,5,5,7,12,5,5,10,8,7,6,7,9,11,0
Cappuccino klein  here,13,14,13,12,21,20,34,14,24,12,8,19,12,14,14,16,20,12,13,15,8,11,17,17,10,14,17,24,17,16,0
Cappuccino klein  to go,6,5,1,2,2,4,7,4,5,9,1,7,6,4,4,5,7,2,4,6,6,7,6,7,2,3,4,9,7,7,0
Chai Tea groﬂ Chai Banana here,0,0,0,0,0,1,1,2,2,0,0,0,0,1,0,2,2,1,1,0,0,0,1,0,0,0,2,0,2,0,0
Chai Tea groﬂ Chai Banana to go,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,1,0,0,0
Chai Tea groﬂ Chai Tea Latte here,5,1,1,2,5,3,7,6,7,1,0,4,2,6,8,8,6,8,4,2,6,1,3,10,4,2,3,2,2,4,0
Chai Tea groﬂ Chai Tea Latte to go,4,1,0,1,2,1,2,2,3,1,0,3,2,2,3,2,2,5,3,1,2,2,2,3,6,2,3,2,1,1,0
Chai Tea klein Chai Banana here,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chai Tea klein Chai Tea Latte here,2,2,3,2,2,0,6,3,4,0,1,2,2,4,2,0,3,8,13,2,4,4,7,2,1,2,1,2,0,4,0
Chai Tea klein Chai Tea Latte to go,0,0,0,1,2,0,1,0,0,0,1,2,0,0,1,0,1,3,1,5,2,0,4,1,3,0,0,5,0,1,0
Chocolate groﬂ Bio-Kakao here,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Chocolate groﬂ Bio-Kakao to go,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate groﬂ black here,0,4,0,0,2,0,8,4,4,1,0,4,2,3,3,1,4,6,2,3,1,6,5,5,0,1,1,2,1,1,0
Chocolate groﬂ black to go,1,1,1,0,1,0,2,4,0,1,0,0,1,1,1,3,1,6,2,1,3,1,0,2,2,1,0,1,1,1,0
Chocolate groﬂ white bring in,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chocolate groﬂ white here,0,0,0,3,1,0,1,1,2,1,0,0,2,1,5,0,2,3,0,0,1,1,3,0,1,1,1,0,0,2,0
Chocolate groﬂ white to go,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0
Chocolate klein Bio-Kakao here,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0
Chocolate klein Bio-Kakao to go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Chocolate klein black here,5,1,1,3,7,5,9,6,2,0,0,1,4,0,3,0,2,7,4,3,2,1,10,2,2,1,7,2,2,2,0
Chocolate klein black to go,1,0,0,0,1,0,3,6,0,0,1,2,0,1,0,1,2,1,1,0,2,0,2,1,0,1,0,2,0,0,0
Chocolate klein white here,1,1,0,1,3,0,0,2,2,1,0,1,0,2,0,0,0,1,2,1,1,0,0,0,1,1,3,4,1,0,0
Chocolate klein white to go,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,3,0,0,1,0,1,0,0,0
Cookie here,0,5,6,5,6,4,11,5,5,4,4,10,9,7,1,6,7,9,4,4,4,4,8,5,4,4,3,7,1,4,0
Cookie to go,6,4,3,0,2,7,7,4,6,5,1,0,5,6,3,2,8,1,6,2,5,4,3,4,4,13,10,2,2,9,0
Cool Latte Iced Caffe here,2,1,9,0,1,1,0,1,1,9,3,4,1,0,2,3,1,0,0,0,1,5,2,1,3,1,2,0,5,4,0
Cool Latte Iced Caffe to go,2,0,9,0,1,1,0,0,1,4,2,0,2,0,3,0,3,0,0,4,1,1,1,14,6,1,4,0,6,4,0
Cool Latte Iced Espresso here,2,3,4,0,0,0,1,0,0,1,3,1,0,1,1,0,0,0,1,1,1,0,0,2,1,0,1,0,1,0,0
Cool Latte Iced Espresso to go,0,1,1,0,0,0,0,1,0,2,0,1,1,0,0,3,0,0,0,0,0,1,0,0,2,1,1,1,2,0,0
Cool Latte Iced Macchiato here,5,5,13,4,5,7,2,4,2,16,9,1,10,5,6,8,12,0,0,2,7,3,7,8,7,4,8,3,1,8,0
Cool Latte Iced Macchiato to go,4,3,8,1,3,3,0,1,2,19,0,3,1,2,3,1,7,0,1,2,4,1,6,7,6,10,7,4,2,8,0
