 Zeit;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00
Bagel Cream Cheese here;0;1;0;6;3;4;16;6;7;10;2;6;2;0;0;0;0
Bagel Cream Cheese to go;0;1;1;4;0;0;0;3;1;3;2;1;0;0;0;0;0
Bagel Fitness here;0;1;3;3;10;18;25;14;17;10;8;2;5;4;0;0;0
Bagel Fitness to go;0;1;2;4;4;5;7;4;2;1;2;0;2;0;0;0;0
Bagel Green Garden here;0;0;1;1;0;1;9;5;7;2;1;0;0;1;0;0;0
Bagel Green Garden to go;0;0;0;0;0;4;3;1;1;0;0;1;0;0;0;0;0
Bagel India here;0;0;0;2;1;11;13;12;12;5;7;9;7;1;0;0;0
Bagel India to go;0;0;0;0;0;0;5;1;2;1;1;1;0;0;0;0;0
Bagel Mexico here;0;1;0;1;9;10;26;17;9;16;6;6;5;2;0;0;0
Bagel Mexico to go;0;0;0;0;0;3;0;2;0;1;8;1;0;0;0;0;0
Bagel Morning Star here;0;1;4;3;8;7;5;0;0;0;0;0;1;0;0;0;0
Bagel Peanut Butter here;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0
Bagel Peanut Butter to go;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Bagel plain here;0;3;5;3;5;7;4;3;3;1;4;3;1;0;0;0;0
Bagel plain to go;0;2;16;3;2;1;12;2;1;0;0;2;0;1;0;0;0
Bagel Roma oder Florenz here;0;1;7;19;19;39;50;50;37;26;13;16;6;4;0;0;0
Bagel Roma oder Florenz to go;0;1;0;5;8;8;17;12;7;9;5;5;3;0;0;0;0
Bagel Stulle Deluxe here;0;1;3;4;7;7;15;10;12;6;4;2;5;5;0;0;0
Bagel Stulle Deluxe to go;0;1;0;0;1;4;4;3;4;4;2;1;0;2;0;0;0
Brezel Butter here;0;0;0;0;2;1;5;3;1;1;1;0;1;0;0;0;0
Brezel Butter to go;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Brezel plain here;0;1;0;5;4;10;10;4;4;6;8;3;1;1;0;0;0
Brezel plain to go;0;3;6;2;3;2;5;2;2;1;6;2;1;0;0;0;0
Cafe Creme groﬂ  here;0;2;3;6;7;5;15;15;19;21;20;8;6;4;0;0;0
Cafe Creme groﬂ  to go;0;5;10;6;5;6;4;3;11;13;12;6;0;6;0;0;0
Cafe Creme klein  here;0;21;13;10;12;28;40;27;33;28;50;33;20;20;0;0;0
Cafe Creme klein  to go;0;9;30;10;17;5;9;4;9;8;14;13;7;5;0;0;0
Caffe Latte mit Sirup here;0;0;5;1;1;9;8;3;12;9;13;13;2;0;0;0;0
Caffe Latte mit Sirup to go;0;0;4;0;1;3;2;2;4;3;6;9;3;1;0;0;0
Caffe Latte ohne Sirup bring in;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
